Advanced
max_subdivisions: 100000
,Error Goal 0.001
,Type,Integral,Result,Error,Time, AbsError
gaussLegendreFixed:
,simple,sin(x) from 0 to 10.459698,0.459698,0.000000,0.000078,
,simple,x^2 from 0 to 10.333333,0.333333,0.000000,0.000002,
,simple,x^3 from 0 to 10.250000,0.250000,0.000000,0.000003,
,simple,x^10000 from 0 to 10.000000,0.000000,0.000100,0.000003,
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 01951146.666667,1951146.666667,0.000000,0.000003,
,simple,x^-1 from 1 to 20.693122,0.693122,0.000025,0.000001,
,simple,e^x from 0 to 11.718281,1.718281,0.000001,0.000002,
,simple,x^1/2 from 0 to 10.669180,0.669180,0.002513,0.000000,
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 11.317902,1.317902,0.000000,0.000001,
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 111.006327,11.006327,3.006327,0.000000,
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 10.314904,0.314904,0.003168,0.000001,
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 31.848690,1.848690,0.000037,0.000001,
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 10.531854,0.531854,0.031868,0.000001,
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 3-nan,-nan,nan,0.000000,
,discontinuous,floor(x) (middle discontinuity) from 0 to 21.444444,1.444444,0.444444,0.000001,
,discontinuous,piecewise (middle discontinuity) from 0 to 2nan,nan,nan,0.000000,
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159-16.329836,-16.329836,4.515064,0.000003,
,badly behaved,ln(x) from 0 to 1-0.947672,-0.947672,0.052328,0.000002,
,badly behaved,ln(x^2) from 8 to 94.278978,4.278978,0.000000,0.000001,
,badly behaved,ln(1/x) from 0 to 10.947672,0.947672,0.052328,0.000001,
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.636620.056199,0.056199,0.002369,0.000003,
,badly behaved,ln(abs(x-0.7)) from 0 to 1-1.328438,-1.328438,0.282427,0.000001,
