Advanced
max_subdivisions: 100000
,Error Goal 0.000001
,Type,Integral,Result,Error,Time, AbsError
gaussLegendreFixed:
,simple,sin(x) from 0 to 10.459698,0.459698,0.000000,0.000002,
,simple,x^2 from 0 to 10.333333,0.333333,0.000000,0.000001,
,simple,x^3 from 0 to 10.250000,0.250000,0.000000,0.000001,
,simple,x^10000 from 0 to 10.000000,0.000000,0.000100,0.000002,
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 01951146.666667,1951146.666667,0.000000,0.000003,
,simple,x^-1 from 1 to 20.693147,0.693147,0.000000,0.000000,
,simple,e^x from 0 to 11.718282,1.718282,0.000000,0.000001,
,simple,x^1/2 from 0 to 10.667046,0.667046,0.000380,0.000001,
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 11.317902,1.317902,0.000000,0.000001,
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 16.599381,6.599381,1.400619,0.000001,
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 10.312196,0.312196,0.000460,0.000001,
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 31.848653,1.848653,0.000000,0.000001,
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 10.509364,0.509364,0.009378,0.000001,
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 38.000000,8.000000,0.000000,0.000000,
,discontinuous,floor(x) (middle discontinuity) from 0 to 21.000000,1.000000,0.000000,0.000001,
,discontinuous,piecewise (middle discontinuity) from 0 to 22.509947,2.509947,0.009947,0.000001,
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159-19.673151,-19.673151,1.171749,0.000002,
,badly behaved,ln(x) from 0 to 1-0.984991,-0.984991,0.015009,0.000001,
,badly behaved,ln(x^2) from 8 to 94.278978,4.278978,0.000000,0.000001,
,badly behaved,ln(1/x) from 0 to 10.984991,0.984991,0.015009,0.000001,
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.636620.057179,0.057179,0.001388,0.000001,
,badly behaved,ln(abs(x-0.7)) from 0 to 1-1.485631,-1.485631,0.125233,0.000001,
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 12.393963,2.393963,0.604252,0.000002,
,badly behaved,e^x/(x^(1/pi) from 0 to 12.275031,2.275031,0.028873,0.000001,
nonAdaptiveGaussKronrod:
,simple,sin(x) from 0 to 10.459698,0.459698,0.000000,0.000002,0.000000
,simple,x^2 from 0 to 10.333333,0.333333,0.000000,0.000001,0.000000
,simple,x^3 from 0 to 10.250000,0.250000,0.000000,0.000004,0.000000
,simple,x^10000 from 0 to 10.000000,0.000000,0.000100,0.000005,0.000000
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 01951146.666667,1951146.666667,0.000000,0.000007,0.000000
,simple,x^-1 from 1 to 20.693147,0.693147,0.000000,0.000001,0.000000
,simple,e^x from 0 to 11.718282,1.718282,0.000000,0.000002,0.000000
,simple,x^1/2 from 0 to 10.666667,0.666667,0.000000,0.000003,0.000001
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 11.317902,1.317902,0.000000,0.000002,0.000000
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 17.866844,7.866844,0.133156,0.000004,4.235325
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 10.311736,0.311736,0.000000,0.000007,0.000001
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 31.848653,1.848653,0.000000,0.000002,0.000000
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 10.499344,0.499344,0.000642,0.000002,0.166262
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 3-nan,-nan,nan,0.000002,nan
,discontinuous,floor(x) (middle discontinuity) from 0 to 21.018681,1.018681,0.018681,0.000002,0.994417
,discontinuous,piecewise (middle discontinuity) from 0 to 2nan,nan,nan,0.000002,nan
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159-20.843670,-20.843670,0.001230,0.000016,0.391375
,badly behaved,ln(x) from 0 to 1-0.999983,-0.999983,0.000017,0.000007,0.003600
,badly behaved,ln(x^2) from 8 to 94.278978,4.278978,0.000000,0.000002,0.000000
,badly behaved,ln(1/x) from 0 to 10.999983,0.999983,0.000017,0.000007,0.003600
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.636620.058571,0.058571,0.000003,0.000010,0.001286
,badly behaved,ln(abs(x-0.7)) from 0 to 1-1.649397,-1.649397,0.038532,0.000007,0.768132
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 12.926611,2.926611,0.071603,0.000024,2.175074
,badly behaved,e^x/(x^(1/pi) from 0 to 12.303612,2.303612,0.000292,0.000015,0.129563
,simple,sin(x) from 0 to 10.459698,0.459698,0.000000,0.000055
,simple,x^2 from 0 to 10.333333,0.333333,0.000000,0.000056
,simple,x^3 from 0 to 10.250000,0.250000,0.000000,0.000055
,simple,x^10000 from 0 to 10.000000,0.000000,0.000100,0.000047
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 01951146.666667,1951146.666667,0.000000,0.000047
,simple,x^-1 from 1 to 20.693147,0.693147,0.000000,0.000039
,simple,e^x from 0 to 11.718282,1.718282,0.000000,0.000093
,simple,x^1/2 from 0 to 10.666714,0.666714,0.000047,0.000047
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 11.317902,1.317902,0.000000,0.000052
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 18.434843,8.434843,0.434843,0.000036
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 10.311793,0.311793,0.000057,0.000044
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 31.848653,1.848653,0.000000,0.000052
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 10.499861,0.499861,0.000125,0.000044
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 38.000000,8.000000,0.000000,0.000036
,discontinuous,floor(x) (middle discontinuity) from 0 to 21.000000,1.000000,0.000000,0.000036
,discontinuous,piecewise (middle discontinuity) from 0 to 22.500000,2.500000,0.000000,0.000042
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159-20.558371,-20.558371,0.286529,0.000055
,badly behaved,ln(x) from 0 to 1-0.996248,-0.996248,0.003752,0.000036
,badly behaved,ln(x^2) from 8 to 94.278978,4.278978,0.000000,0.000046
,badly behaved,ln(1/x) from 0 to 10.996248,0.996248,0.003752,0.000044
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.636620.058308,0.058308,0.000259,0.000044
,badly behaved,ln(abs(x-0.7)) from 0 to 1-1.608823,-1.608823,0.002042,0.000052
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 12.609154,2.609154,0.389060,0.000046
,badly behaved,e^x/(x^(1/pi) from 0 to 12.292641,2.292641,0.011263,0.000057
,simple,sin(x) from 0 to 10.459698,0.459698,0.000000,0.000059,0.359949
,simple,x^2 from 0 to 10.333333,0.333333,0.000000,0.000058,0.599957
,simple,x^3 from 0 to 10.250000,0.250000,0.000000,0.000057,0.774569
,simple,x^10000 from 0 to 10.000100,0.000100,0.000000,0.000051,0.880096
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 01951146.666667,1951146.666667,0.000000,0.000058,0.938134
,simple,x^-1 from 1 to 20.693147,0.693147,0.000000,0.000038,0.968573
,simple,e^x from 0 to 11.718282,1.718282,0.000000,0.000048,0.984161
,simple,x^1/2 from 0 to 10.666667,0.666667,0.000000,0.000041,0.992049
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 11.317902,1.317902,0.000000,0.000057,0.996017
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 17.753787,7.753787,0.246213,0.000047,1.870735
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 10.311736,0.311736,0.000000,0.000062,1.367748
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 31.848653,1.848653,0.000000,0.000045,1.169508
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 10.499992,0.499992,0.000006,0.000061,1.081477
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 38.000000,8.000000,0.000000,0.000045,1.039941
,discontinuous,floor(x) (middle discontinuity) from 0 to 21.000000,1.000000,0.000000,0.000040,1.019775
,discontinuous,piecewise (middle discontinuity) from 0 to 22.500000,2.500000,0.000000,0.000039,1.009839
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159-20.844624,-20.844624,0.000276,0.000054,1.007047
,badly behaved,ln(x) from 0 to 1-0.999996,-0.999996,0.000004,0.000066,1.003518
,badly behaved,ln(x^2) from 8 to 94.278978,4.278978,0.000000,0.000058,1.001757
,badly behaved,ln(1/x) from 0 to 10.999996,0.999996,0.000004,0.000045,1.000879
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.636620.058569,0.058569,0.000001,0.000048,1.000440
,badly behaved,ln(abs(x-0.7)) from 0 to 1-1.609888,-1.609888,0.000976,0.000040,1.022745
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 12.952158,2.952158,0.046057,0.000064,1.694369
,badly behaved,e^x/(x^(1/pi) from 0 to 12.303791,2.303791,0.000113,0.000059,1.302438
,simple,sin(x) from 0 to 10.459698,0.459698,0.000000,0.000049,0.000000
,simple,x^2 from 0 to 10.333333,0.333333,0.000000,0.000023,0.000000
,simple,x^3 from 0 to 10.250000,0.250000,0.000000,0.000031,0.000000
,simple,x^10000 from 0 to 10.000100,0.000100,0.000000,0.000122,0.000000
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 01951146.666667,1951146.666667,0.000000,0.000040,0.000000
,simple,x^-1 from 1 to 20.693147,0.693147,0.000000,0.000021,0.000000
,simple,e^x from 0 to 11.718282,1.718282,0.000000,0.000023,0.000000
,simple,x^1/2 from 0 to 10.666667,0.666667,0.000000,0.000029,0.000001
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 11.317902,1.317902,0.000000,0.000023,0.000000
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 17.999997,7.999997,0.000003,0.000109,0.000006
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 10.311736,0.311736,0.000000,0.000051,0.000001
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 31.848653,1.848653,0.000000,0.000024,0.000000
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 10.499986,0.499986,0.000000,0.000036,0.000000
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 38.000000,8.000000,0.000000,0.000023,nan
,discontinuous,floor(x) (middle discontinuity) from 0 to 21.000000,1.000000,0.000000,0.000022,0.000000
,discontinuous,piecewise (middle discontinuity) from 0 to 22.500000,2.500000,0.000000,0.000024,nan
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159-20.844942,-20.844942,0.000042,0.000571,0.000015
,badly behaved,ln(x) from 0 to 1-1.000000,-1.000000,0.000000,0.000132,0.000001
,badly behaved,ln(x^2) from 8 to 94.278978,4.278978,0.000000,0.000025,0.000000
,badly behaved,ln(1/x) from 0 to 11.000000,1.000000,0.000000,0.000143,0.000001
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.636620.058568,0.058568,0.000000,0.000112,0.000000
,badly behaved,ln(abs(x-0.7)) from 0 to 1-1.610864,-1.610864,0.000000,0.000133,0.000001
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 12.998214,2.998214,0.000000,0.001820,0.000003
,badly behaved,e^x/(x^(1/pi) from 0 to 12.303904,2.303904,0.000000,0.000499,0.000002
,simple,sin(x) from 0 to 10.459698,0.459698,0.000000,0.000023,0.000000
,simple,x^2 from 0 to 10.333333,0.333333,0.000000,0.000021,0.000000
,simple,x^3 from 0 to 10.250000,0.250000,0.000000,0.000024,0.000000
,simple,x^10000 from 0 to 10.000000,0.000000,0.000100,0.000032,0.000000
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 01951146.666667,1951146.666667,0.000000,0.000027,0.000000
,simple,x^-1 from 1 to 20.693147,0.693147,0.000000,0.000021,0.000000
,simple,e^x from 0 to 11.718282,1.718282,0.000000,0.000021,0.000000
,simple,x^1/2 from 0 to 10.666667,0.666667,0.000000,0.000026,0.000000
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 11.317902,1.317902,0.000000,0.000022,0.000000
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 18.000000,8.000000,0.000000,0.000032,0.000000
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 10.311736,0.311736,0.000000,0.000037,0.000000
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 31.848653,1.848653,0.000000,0.000022,0.000000
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 10.499986,0.499986,0.000000,0.000029,0.000000
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 38.000000,8.000000,0.000000,0.000029,nan
,discontinuous,floor(x) (middle discontinuity) from 0 to 21.000000,1.000000,0.000000,0.000022,0.000000
,discontinuous,piecewise (middle discontinuity) from 0 to 22.500000,2.500000,0.000000,0.000030,nan
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159-20.844942,-20.844942,0.000042,0.000095,0.000005
