Error Goal: 0.000001,max_subdivisions: 100000
,Type,Integral,Result,Error,Time,Subdivisions
Midpoint Rule:
,simple,sin(x) from 0 to 1,0.459698,0.000000,0.000121,99
,simple,x^2 from 0 to 1,0.333333,0.000000,0.000252,256
,simple,x^3 from 0 to 1,0.249999,0.000001,0.000312,217
,simple,x^10000 from 0 to 1,0.000000,0.000100,0.000004,1
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 0,1951146.666639,0.000028,0.216416,103407
,simple,x^-1 from 1 to 2,0.693147,0.000001,0.000140,121
,simple,e^x from 0 to 1,1.718281,0.000001,0.000268,198
,simple,x^1/2 from 0 to 1,0.666667,0.000001,0.000301,292
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 1,1.317902,0.000000,0.000136,114
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 1,7.999995,0.000005,0.349843,348751
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 1,0.311737,0.000001,0.000462,378
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 3,1.848653,0.000000,0.000210,178
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 1,0.447214,0.052772,0.000003,1
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 3,8.000000,0.000000,0.000003,1
,discontinuous,floor(x) (middle discontinuity) from 0 to 2,1.000000,0.000000,0.000004,2
,discontinuous,piecewise (middle discontinuity) from 0 to 2,2.500000,0.000000,0.000004,2
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159,-20.844940,0.000040,0.448974,241135
,badly behaved,ln(x) from 0 to 1,-0.999999,0.000001,0.389886,207013
,badly behaved,ln(x^2) from 8 to 9,4.278978,0.000000,0.000047,32
,badly behaved,ln(1/x) from 0 to 1,-nan,nan,0.581580,204449
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.63662,0.058568,0.000000,0.000735,542
,badly behaved,ln(abs(x-0.7)) from 0 to 1,-nan,nan,0.129940,109615
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 1,2.998066,0.000148,0.433715,233691
,badly behaved,e^x/(x^(1/pi) from 0 to 1,2.303904,0.000000,0.662691,416610

Trapezoid Rule:
,simple,sin(x) from 0 to 1,0.459697,0.000001,0.000169,125
,simple,x^2 from 0 to 1,0.333334,0.000001,0.000272,256
,simple,x^3 from 0 to 1,0.250000,0.000000,0.000543,359
,simple,x^10000 from 0 to 1,0.000100,0.000000,0.000629,435
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 0,1951146.666728,0.000061,0.218659,100001
,simple,x^-1 from 1 to 2,0.693148,0.000001,0.000192,175
,simple,e^x from 0 to 1,1.718282,0.000001,0.000309,256
,simple,x^1/2 from 0 to 1,0.666666,0.000001,0.000453,420
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 1,1.317903,0.000001,0.000157,128
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 1,8.000005,0.000005,0.381006,348413
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 1,0.311736,0.000000,0.000671,535
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 3,1.848652,0.000001,0.000276,221
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 1,0.499985,0.000001,0.000733,685
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 3,8.000000,0.000000,0.000004,1
,discontinuous,floor(x) (middle discontinuity) from 0 to 2,2.000000,1.000000,0.000003,1
,discontinuous,piecewise (middle discontinuity) from 0 to 2,nan,nan,0.109970,100106
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159,-20.844943,0.000043,0.746673,345334
,badly behaved,ln(x) from 0 to 1,-1.000001,0.000001,0.489186,251018
,badly behaved,ln(x^2) from 8 to 9,4.278977,0.000001,0.000051,32
,badly behaved,ln(1/x) from 0 to 1,-nan,nan,0.683753,247457
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.63662,0.063176,0.004609,0.000095,58
,badly behaved,ln(abs(x-0.7)) from 0 to 1,-nan,nan,0.139565,113191
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 1,2.997909,0.000305,0.467747,245077
,badly behaved,e^x/(x^(1/pi) from 0 to 1,2.303905,0.000001,0.669642,391455

Simpson Rule:
,simple,sin(x) from 0 to 1,0.459698,0.000001,0.000012,2
,simple,x^2 from 0 to 1,0.333333,0.000000,0.000004,1
,simple,x^3 from 0 to 1,0.250000,0.000000,0.000006,1
,simple,x^10000 from 0 to 1,0.000100,0.000000,0.000061,22
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 0,1951146.666685,0.000019,0.000441,128
,simple,x^-1 from 1 to 2,0.693147,0.000000,0.000008,5
,simple,e^x from 0 to 1,1.718282,0.000000,0.000009,4
,simple,x^1/2 from 0 to 1,0.666666,0.000000,0.000035,26
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 1,1.317903,0.000000,0.000005,2
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 1,8.000003,0.000003,0.935536,710908
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 1,0.311736,0.000000,0.000055,28
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 3,1.848653,0.000000,0.000012,5
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 1,0.499985,0.000001,0.000057,43
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 3,8.000000,0.000000,0.000003,1
