Error Goal: 0.001,max_subdivisions: 100000
,Type,Integral,Result,Error,Time,Subdivisions
Midpoint Rule:
,simple,sin(x) from 0 to 1,0.460237,0.000539,0.000033,3
,simple,x^2 from 0 to 1,0.333008,0.000326,0.000011,8
,simple,x^3 from 0 to 1,0.249420,0.000580,0.000013,7
,simple,x^10000 from 0 to 1,0.000000,0.000100,0.000004,1
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 0,1951146.655333,0.011334,0.013511,5360
,simple,x^-1 from 1 to 2,0.692284,0.000863,0.000011,3
,simple,e^x from 0 to 1,1.717686,0.000596,0.000015,6
,simple,x^1/2 from 0 to 1,0.667102,0.000436,0.000017,9
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 1,1.317577,0.000325,0.000011,4
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 1,7.994558,0.005442,0.350210,351907
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 1,0.312199,0.000463,0.000022,11
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 3,1.848019,0.000634,0.000009,5
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 1,0.447214,0.052772,0.000003,1
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 3,8.000000,0.000000,0.000002,1
,discontinuous,floor(x) (middle discontinuity) from 0 to 2,1.000000,0.000000,0.000004,2
,discontinuous,piecewise (middle discontinuity) from 0 to 2,2.500000,0.000000,0.000004,2
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159,-nan,nan,0.199340,104126
,badly behaved,ln(x) from 0 to 1,-nan,nan,0.192810,103195
,badly behaved,ln(x^2) from 8 to 9,4.279267,0.000289,0.000008,1
,badly behaved,ln(1/x) from 0 to 1,-nan,nan,0.463443,103073
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.63662,0.058133,0.000435,0.000022,8
,badly behaved,ln(abs(x-0.7)) from 0 to 1,-nan,nan,0.116035,100337
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 1,2.997888,0.000327,0.446414,243232
,badly behaved,e^x/(x^(1/pi) from 0 to 1,2.303489,0.000415,0.598637,407961

Trapezoid Rule:
,simple,sin(x) from 0 to 1,0.459099,0.000599,0.000014,4
,simple,x^2 from 0 to 1,0.333984,0.000651,0.000012,8
,simple,x^3 from 0 to 1,0.250610,0.000610,0.000024,11
,simple,x^10000 from 0 to 1,0.000101,0.000001,0.000040,23
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 0,1951146.676841,0.010174,0.017465,8280
,simple,x^-1 from 1 to 2,0.693581,0.000434,0.000009,6
,simple,e^x from 0 to 1,1.718841,0.000559,0.000014,8
,simple,x^1/2 from 0 to 1,0.666195,0.000472,0.000019,15
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 1,1.318553,0.000651,0.000007,4
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 1,8.004954,0.004954,0.381870,351897
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 1,0.311188,0.000548,0.000046,18
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 3,1.847317,0.001336,0.000016,7
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 1,0.499378,0.000608,0.000023,19
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 3,8.000000,0.000000,0.000003,1
