Error Goal: 0.000001,max_subdivisions: 100000
,Type,Integral,Result,Error,Time,Subdivisions
Midpoint Rule:
,simple,sin(x) from 0 to 1,0.459698,0.000000,0.001041,99
,simple,x^2 from 0 to 1,0.333333,0.000000,0.002534,256
,simple,x^3 from 0 to 1,0.249999,0.000001,0.002669,217
,simple,x^10000 from 0 to 1,0.000000,0.000100,0.000097,1
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 0,1951146.666637,0.000030,1.458331,107463
,simple,x^-1 from 1 to 2,0.693147,0.000001,0.001146,121
,simple,e^x from 0 to 1,1.718281,0.000001,0.002074,198
,simple,x^1/2 from 0 to 1,0.666667,0.000001,0.002794,292
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 1,1.317902,0.000000,0.001146,114
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 1,7.999995,0.000005,3.276404,370619
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 1,0.311737,0.000001,0.002579,378
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 3,1.848653,0.000000,0.001837,178
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 1,0.447214,0.052772,0.000089,1
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 3,8.000000,0.000000,0.000078,1
,discontinuous,floor(x) (middle discontinuity) from 0 to 2,1.000000,0.000000,0.000080,2
,discontinuous,piecewise (middle discontinuity) from 0 to 2,2.500000,0.000000,0.000077,2
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159,-20.844940,0.000040,3.688521,411219
,badly behaved,ln(x) from 0 to 1,-0.999999,0.000001,5.137087,398243
,badly behaved,ln(x^2) from 8 to 9,4.278978,0.000000,0.000328,32
,badly behaved,ln(1/x) from 0 to 1,-nan,nan,3.935924,339213
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.63662,0.058568,0.000000,0.000975,542
,badly behaved,ln(abs(x-0.7)) from 0 to 1,-nan,nan,1.202663,128809
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 1,2.998096,0.000119,3.335224,286652
,badly behaved,e^x/(x^(1/pi) from 0 to 1,2.303904,0.000000,4.766733,448281

